[ 0 ]	0/1	
[ 1 ]	1/1		
[ -1 ]	1/-1	
[ 2 ]	2/1		[[5,2,6,1],[2,5,3,4]]
[ -2 ]	2/-1	[[1,5,2,6],[5,3,4,2]]
[ 1  1  0 ]	1/2			[[5,1,6,2],[2,4,3,5]]
[ -1  -1  0 ]	1/-2	[[1,6,2,5],[4,3,5,2]]
[ 3 ]	3/1		[[7,2,8,1],[5,4,6,3],[2,7,3,6]]
[ -3 ]	3/-1	[[1,7,2,8],[3,5,4,6],[6,2,7,3]]
[ 2  1  0 ]	2/3			[[4,1,5,2],[2,6,3,7],[7,3,8,4]]
[ -2  -1  0 ]	2/-3	[[1,5,2,4],[3,8,4,7],[6,3,7,2]]
[ 1  2  0 ]	1/3			[[7,1,8,2],[5,3,6,4],[2,6,3,7]]
[ -1  -2  0 ]	1/-3	[[1,8,2,7],[3,6,4,5],[6,3,7,2]]
[ 1  1  1 ]	3/2			[[5,2,6,1],[7,5,8,4],[2,7,3,6]]
[ -1  -1  -1 ]	3/-2	[[1,5,2,6],[4,7,5,8],[6,2,7,3]]
[ 4 ]	4/1		[[9,2,10,1],[7,4,8,3],[4,7,5,6],[2,9,3,8]]
[ -4 ]	4/-1	[[1,9,2,10],[3,7,4,8],[6,4,7,5],[8,2,9,3]]
[ 3  1  0 ]	3/4			[[6,2,7,1],[8,4,9,3],[4,8,5,7],[2,10,3,9]]
[ -3  -1  0 ]	3/-4	[[1,6,2,7],[3,8,4,9],[7,4,8,5],[9,2,10,3]]
[ 2  2  0 ]	2/5			[[7,2,6,1],[9,4,10,3],[3,6,2,5],[4,9,5,8]]
[ -2  -2  0 ]	2/-5	[[1,7,2,6],[3,9,4,10],[5,3,6,2],[8,4,9,5]]
[ 2  1  1 ]	5/3			[[5,2,4,1],[7,4,8,3],[10,6,9,5],[2,9,3,8]]
[ -2  -1  -1 ]	5/-3	[[1,5,2,4],[3,7,4,8],[5,10,6,9],[8,2,9,3]]
[ 1  3  0 ]	1/4			[[6,2,7,1],[8,4,9,3],[2,8,3,7],[4,10,5,9]]
[ -1  -3  0 ]	1/-4	[[1,6,2,7],[3,8,4,9],[7,2,8,3],[9,4,10,5]]
[ 1  2  1 ]	4/3			[[7,2,8,1],[9,4,10,3],[4,7,5,6],[2,9,3,8]]
[ -1  -2  -1 ]	4/-3	[[1,7,2,8],[3,9,4,10],[6,4,7,5],[8,2,9,3]]
[ 1  1  2 ]	5/2			[[6,2,7,1],[8,6,9,5],[2,8,3,7],[4,10,5,9]]
[ -1  -1  -2 ]	5/-2	[[1,6,2,7],[5,8,6,9],[7,2,8,3],[9,4,10,5]]
[ 1  1  1  1  0 ]	3/5			[[10,2,9,1],[7,4,8,3],[2,6,3,5],[4,9,5,8]]
[ -1  -1  -1  -1  0 ]	3/-5	[[1,10,2,9],[3,7,4,8],[5,2,6,3],[8,4,9,5]]
[ 5 ]	5/1		[[8,2,7,1],[10,4,9,3],[12,6,11,5],[3,9,2,8],[5,11,4,10]]
[ -5 ]	5/-1	[[1,8,2,7],[3,10,4,9],[5,12,6,11],[8,3,9,2],[10,5,11,4]]
[ 4  1  0 ]	4/5			[[7,2,6,1],[10,4,9,3],[12,6,11,5],[3,9,2,8],[5,11,4,10]]
[ -4  -1  0 ]	4/-5	[[1,7,2,6],[3,10,4,9],[5,12,6,11],[8,3,9,2],[10,5,11,4]]
[ 3  2  0 ]	3/7			[[12,2,11,1],[8,4,7,3],[10,6,9,5],[5,9,4,8],[3,11,2,10]]
[ -3  -2  0 ]	3/-7	[[1,12,2,11],[3,8,4,7],[5,10,6,9],[8,5,9,4],[10,3,11,2]]
[ 3  1  1 ]	7/4			[[11,2,10,1],[9,4,8,3],[3,8,2,7],[5,10,4,9],[6,12,7,11]]
[ -3  -1  -1 ]	7/-4	[[1,11,2,10],[3,9,4,8],[7,3,8,2],[9,5,10,4],[11,6,12,7]]
[ 2  3  0 ]	2/7			[[9,2,8,1],[7,4,6,3],[12,6,11,5],[3,8,2,7],[5,11,4,10]]
[ -2  -3  0 ]	2/-7	[[1,9,2,8],[3,7,4,6],[5,12,6,11],[7,3,8,2],[10,5,11,4]]
[ 2  2  1 ]	7/5			[[7,2,6,1],[10,4,9,3],[3,6,2,5],[12,8,11,7],[5,11,4,10]]
[ -2  -2  -1 ]	7/-5	[[1,7,2,6],[3,10,4,9],[5,3,6,2],[7,12,8,11],[10,5,11,4]]
[ 2  1  2 ]	8/3			[[5,2,4,1],[12,4,11,3],[9,6,10,5],[6,9,7,8],[3,11,2,10]]
[ -2  -1  -2 ]	8/-3	[[1,5,2,4],[3,12,4,11],[5,9,6,10],[8,6,9,7],[10,3,11,2]]
[ 2  1  1  1  0 ]	5/8			[[6,2,7,1],[9,4,8,3],[11,8,10,7],[5,10,4,9],[2,12,3,11]]
[ -2  -1  -1  -1  0 ]	5/-8	[[1,6,2,7],[3,9,4,8],[7,11,8,10],[9,5,10,4],[11,2,12,3]]
[ 1  4  0 ]	1/5			[[12,2,11,1],[10,4,9,3],[8,6,7,5],[5,9,4,8],[3,11,2,10]]
[ -1  -4  0 ]	1/-5	[[1,12,2,11],[3,10,4,9],[5,8,6,7],[8,5,9,4],[10,3,11,2]]
[ 1  3  1 ]	5/4			[[11,2,10,1],[9,4,8,3],[5,8,4,7],[3,10,2,9],[6,12,7,11]]
[ -1  -3  -1 ]	5/-4	[[1,11,2,10],[3,9,4,8],[7,5,8,4],[9,3,10,2],[11,6,12,7]]
[ 1  2  2 ]	7/3			[[10,2,9,1],[8,4,7,3],[12,6,11,5],[3,9,2,8],[5,11,4,10]]
[ -1  -2  -2 ]	7/-3	[[1,10,2,9],[3,8,4,7],[5,12,6,11],[8,3,9,2],[10,5,11,4]]
[ 1  2  1  1  0 ]	4/7			[[7,2,6,1],[12,4,11,3],[10,6,9,5],[3,9,2,8],[5,11,4,10]]
[ -1  -2  -1  -1  0 ]	4/-7	[[1,7,2,6],[3,12,4,11],[5,10,6,9],[8,3,9,2],[10,5,11,4]]
[ 1  1  3 ]	7/2			[[9,2,8,1],[10,6,11,5],[3,8,2,7],[6,10,7,9],[4,12,5,11]]
[ -1  -1  -3 ]	7/-2	[[1,9,2,8],[5,10,6,11],[7,3,8,2],[9,6,10,7],[11,4,12,5]]
[ 1  1  2  1  0 ]	5/7			[[12,2,11,1],[6,4,7,3], [10,6,9,5],[2,8,3,7],[5,11,4,10]]
[ -1  -1  -2  -1  0 ]	5/-7	[[1,12,2,11],[3,6,4,7],[5,10,6,9],[7,2,8,3],[10,5,11,4]]
[ 1  1  1  2  0 ]	3/8			[[6,2,7,1],[11,4,10,3],[2,8,3,7],[5,10,4,9],[8,12,9,11]]
[ -1  -1  -1  -2  0 ]	3/-8	[[1,6,2,7],[3,11,4,10],[7,2,8,3],[9,5,10,4],[11,8,12,9]]
[ 1  1  1  1  1 ]	8/5			[[9,2,10,1],[12,4,11,3],[2,6,3,5],[6,9,7,8],[5,11,4,10]]
[ -1  -1  -1  -1  -1 ]	8/-5	[[1,9,2,10],[3,12,4,11],[5,2,6,3],[8,6,9,7],[10,5,11,4]]
[ 6 ]	6/1		[[13,2,14,1],[11,4,12,3],[9,6,10,5],[6,9,7,8],[4,11,5,10],[2,13,3,12]]
[ -6 ]	6/-1	[[1,13,2,14],[3,11,4,12],[5,9,6,10],[8,6,9,7],[10,4,11,5],[12,2,13,3]]
[ 5  1  0 ]	5/6			[[8,2,9,1],[12,4,13,3][10,6,11,5],[6,10,7,9],[4,12,5,11],[2,14,3,13]]
[ -5  -1  0 ]	5/-6	[[1,8,2,9],[3,12,4,13],[5,10,6,11],[9,6,10,7],[11,4,12,5],[13,2,14,3]]
[ 4  2  0 ]	4/9			[[9,2,8,1],[13,4,14,3],[11,6,12,5],[3,8,2,7],[6,11,7,10],[4,13,5,12]]
[ -4  -2  0 ]	4/-9	[[1,9,2,8],[3,13,4,14],[5,11,6,12],[7,3,8,2],[10,6,11,7],[12,4,13,5]]
[ 4  1  1 ]	9/5			[[7,2,6,1],[11,4,12,3],[9,6,10,5],[14,8,13,7],[4,11,5,10],[2,13,3,12]]
[ -4  -1  -1 ]	9/-5	[[1,7,2,6],[3,11,4,12],[5,9,6,10],[7,14,8,13],[10,4,11,5],[12,2,13,3]]
[ 3  3  0 ]	3/10		[[8,2,9,1],[10,4,11,3],[12,6,13,5],[2,10,3,9],[6,12,7,11],[4,14,5,13]]
[ -3  -3  0 ]	3/-10	[[1,8,2,9],[3,10,4,11],[5,12,6,13],[9,2,10,3],[11,6,12,7],[13,4,14,5]]
[ 3  2  1 ]	10/7		[[9,2,10,1],[13,4,14,3],[11,6,12,5],[6,9,7,8],[2,11,3,10],[4,13,5,12]]
[ -3  -2  -1 ]	10/-7	[[1,9,2,10],[3,13,4,14],[5,11,6,12],[8,6,9,7],[10,2,11,3],[12,4,13,5]]
[ 3  1  2 ]	11/4		[[8,2,9,1],[10,4,11,3],[12,8,13,7],[4,10,5,9],[2,12,3,11],[6,14,7,13]]
[ -3  -1  -2 ]	11/-4	[[1,8,2,9],[3,10,4,11],[7,12,8,13],[9,4,10,5],[11,2,12,3],[13,6,14,7]]
[ 3  1  1  1  0 ]	7/11		[[14,2,13,1],[11,4,12,3],[9,6,10,5],[2,8,3,7],[4,11,5,10],[6,13,7,12]]
[ -3  -1  -1  -1  0 ]	7/-11	[[1,14,2,13],[3,11,4,12],[5,9,6,10],[7,2,8,3],[10,4,11,5],[12,6,13,7]]
[ 2  4  0 ]	2/9
[ -2  -4  0 ]	2/-9
[ 2  3  1 ]	9/7
[ -2  -3  -1 ]	9/-7
[ 2  2  2 ]	12/5
[ -2  -2  -2 ]	12/-5
[ 2  2  1  1  0 ]	7/12
[ -2  -2  -1  -1  0 ]	7/-12
[ 2  1  3 ]	11/3
[ -2  -1  -3 ]	11/-3
[ 2  1  2  1  0 ]	8/11
[ -2  -1  -2  -1  0 ]	8/-11
[ 2  1  1  2  0 ]	5/13
[ -2  -1  -1  -2  0 ]	5/-13
[ 2  1  1  1  1 ]	13/8
[ -2  -1  -1  -1  -1 ]	13/-8
[ 1  5  0 ]	1/6
[ -1  -5  0 ]	1/-6
[ 1  4  1 ]	6/5
[ -1  -4  -1 ]	6/-5
[ 1  3  2 ]	9/4
[ -1  -3  -2 ]	9/-4
[ 1  3  1  1  0 ]	5/9
[ -1  -3  -1  -1  0 ]	5/-9
[ 1  2  3 ]	10/3
[ -1  -2  -3 ]	10/-3
[ 1  2  2  1  0 ]	7/10
[ -1  -2  -2  -1  0 ]	7/-10
[ 1  2  1  2  0 ]	4/11
[ -1  -2  -1  -2  0 ]	4/-11
[ 1  2  1  1  1 ]	11/7
[ -1  -2  -1  -1  -1 ]	11/-7
[ 1  1  4 ]	9/2
[ -1  -1  -4 ]	9/-2
[ 1  1  3  1  0 ]	7/9
[ -1  -1  -3  -1  0 ]	7/-9
[ 1  1  2  2  0 ]	5/12
[ -1  -1  -2  -2  0 ]	5/-12
[ 1  1  2  1  1 ]	12/7
[ -1  -1  -2  -1  -1 ]	12/-7
[ 1  1  1  3  0 ]	3/11
[ -1  -1  -1  -3  0 ]	3/-11
[ 1  1  1  2  1 ]	11/8
[ -1  -1  -1  -2  -1 ]	11/-8
[ 1  1  1  1  2 ]	13/5
[ -1  -1  -1  -1  -2 ]	13/-5
[ 1  1  1  1  1  1  0 ]	8/13
[ -1  -1  -1  -1  -1  -1  0 ]	8/-13
[ 7 ]	7/1
[ -7 ]	7/-1
[ 6  1  0 ]	6/7
[ -6  -1  0 ]	6/-7
[ 5  2  0 ]	5/11
[ -5  -2  0 ]	5/-11
[ 5  1  1 ]	11/6
[ -5  -1  -1 ]	11/-6
[ 4  3  0 ]	4/13
[ -4  -3  0 ]	4/-13
[ 4  2  1 ]	13/9
[ -4  -2  -1 ]	13/-9
[ 4  1  2 ]	14/5
[ -4  -1  -2 ]	14/-5
[ 4  1  1  1  0 ]	9/14
[ -4  -1  -1  -1  0 ]	9/-14
[ 3  4  0 ]	3/13
[ -3  -4  0 ]	3/-13
[ 3  3  1 ]	13/10
[ -3  -3  -1 ]	13/-10
[ 3  2  2 ]	17/7
[ -3  -2  -2 ]	17/-7
[ 3  2  1  1  0 ]	10/17
[ -3  -2  -1  -1  0 ]	10/-17
[ 3  1  3 ]	15/4
[ -3  -1  -3 ]	15/-4
[ 3  1  2  1  0 ]	11/15
[ -3  -1  -2  -1  0 ]	11/-15
[ 3  1  1  2  0 ]	7/18
[ -3  -1  -1  -2  0 ]	7/-18
[ 3  1  1  1  1 ]	18/11
[ -3  -1  -1  -1  -1 ]	18/-11
[ 2  5  0 ]	2/11
[ -2  -5  0 ]	2/-11
[ 2  4  1 ]	11/9
[ -2  -4  -1 ]	11/-9
[ 2  3  2 ]	16/7
[ -2  -3  -2 ]	16/-7
[ 2  3  1  1  0 ]	9/16
[ -2  -3  -1  -1  0 ]	9/-16
[ 2  2  3 ]	17/5
[ -2  -2  -3 ]	17/-5
[ 2  2  2  1  0 ]	12/17
[ -2  -2  -2  -1  0 ]	12/-17
[ 2  2  1  2  0 ]	7/19
[ -2  -2  -1  -2  0 ]	7/-19
[ 2  2  1  1  1 ]	19/12
[ -2  -2  -1  -1  -1 ]	19/-12
[ 2  1  4 ]	14/3
[ -2  -1  -4 ]	14/-3
[ 2  1  3  1  0 ]	11/14
[ -2  -1  -3  -1  0 ]	11/-14
[ 2  1  2  2  0 ]	8/19
[ -2  -1  -2  -2  0 ]	8/-19
[ 2  1  2  1  1 ]	19/11
[ -2  -1  -2  -1  -1 ]	19/-11
[ 2  1  1  3  0 ]	5/18
[ -2  -1  -1  -3  0 ]	5/-18
[ 2  1  1  2  1 ]	18/13
[ -2  -1  -1  -2  -1 ]	18/-13
[ 2  1  1  1  2 ]	21/8
[ -2  -1  -1  -1  -2 ]	21/-8
[ 2  1  1  1  1  1  0 ]	13/21
[ -2  -1  -1  -1  -1  -1  0 ]	13/-21
[ 1  6  0 ]	1/7
[ -1  -6  0 ]	1/-7
[ 1  5  1 ]	7/6
[ -1  -5  -1 ]	7/-6
[ 1  4  2 ]	11/5
[ -1  -4  -2 ]	11/-5
[ 1  4  1  1  0 ]	6/11
[ -1  -4  -1  -1  0 ]	6/-11
[ 1  3  3 ]	13/4
[ -1  -3  -3 ]	13/-4
[ 1  3  2  1  0 ]	9/13
[ -1  -3  -2  -1  0 ]	9/-13
[ 1  3  1  2  0 ]	5/14
[ -1  -3  -1  -2  0 ]	5/-14
[ 1  3  1  1  1 ]	14/9
[ -1  -3  -1  -1  -1 ]	14/-9
[ 1  2  4 ]	13/3
[ -1  -2  -4 ]	13/-3
[ 1  2  3  1  0 ]	10/13
[ -1  -2  -3  -1  0 ]	10/-13
[ 1  2  2  2  0 ]	7/17
[ -1  -2  -2  -2  0 ]	7/-17
[ 1  2  2  1  1 ]	17/10
[ -1  -2  -2  -1  -1 ]	17/-10
[ 1  2  1  3  0 ]	4/15
[ -1  -2  -1  -3  0 ]	4/-15
[ 1  2  1  2  1 ]	15/11
[ -1  -2  -1  -2  -1 ]	15/-11
[ 1  2  1  1  2 ]	18/7
[ -1  -2  -1  -1  -2 ]	18/-7
[ 1  2  1  1  1  1  0 ]	11/18
[ -1  -2  -1  -1  -1  -1  0 ]	11/-18
[ 1  1  5 ]	11/2
[ -1  -1  -5 ]	11/-2
[ 1  1  4  1  0 ]	9/11
[ -1  -1  -4  -1  0 ]	9/-11
[ 1  1  3  2  0 ]	7/16
[ -1  -1  -3  -2  0 ]	7/-16
[ 1  1  3  1  1 ]	16/9
[ -1  -1  -3  -1  -1 ]	16/-9
[ 1  1  2  3  0 ]	5/17
[ -1  -1  -2  -3  0 ]	5/-17
[ 1  1  2  2  1 ]	17/12
[ -1  -1  -2  -2  -1 ]	17/-12
[ 1  1  2  1  2 ]	19/7
[ -1  -1  -2  -1  -2 ]	19/-7
[ 1  1  2  1  1  1  0 ]	12/19
[ -1  -1  -2  -1  -1  -1  0 ]	12/-19
[ 1  1  1  4  0 ]	3/14
[ -1  -1  -1  -4  0 ]	3/-14
[ 1  1  1  3  1 ]	14/11
[ -1  -1  -1  -3  -1 ]	14/-11
[ 1  1  1  2  2 ]	19/8
[ -1  -1  -1  -2  -2 ]	19/-8
[ 1  1  1  2  1  1  0 ]	11/19
[ -1  -1  -1  -2  -1  -1  0 ]	11/-19
[ 1  1  1  1  3 ]	18/5
[ -1  -1  -1  -1  -3 ]	18/-5
[ 1  1  1  1  2  1  0 ]	13/18
[ -1  -1  -1  -1  -2  -1  0 ]	13/-18
[ 1  1  1  1  1  2  0 ]	8/21
[ -1  -1  -1  -1  -1  -2  0 ]	8/-21
[ 1  1  1  1  1  1  1 ]	21/13
[ -1  -1  -1  -1  -1  -1  -1 ]	21/-13
[ 8 ]	8/1
[ -8 ]	8/-1
[ 7  1  0 ]	7/8
[ -7  -1  0 ]	7/-8
[ 6  2  0 ]	6/13
[ -6  -2  0 ]	6/-13
[ 6  1  1 ]	13/7
[ -6  -1  -1 ]	13/-7
[ 5  3  0 ]	5/16
[ -5  -3  0 ]	5/-16
[ 5  2  1 ]	16/11
[ -5  -2  -1 ]	16/-11
[ 5  1  2 ]	17/6
[ -5  -1  -2 ]	17/-6
[ 5  1  1  1  0 ]	11/17
[ -5  -1  -1  -1  0 ]	11/-17
[ 4  4  0 ]	4/17
[ -4  -4  0 ]	4/-17
[ 4  3  1 ]	17/13
[ -4  -3  -1 ]	17/-13
[ 4  2  2 ]	22/9
[ -4  -2  -2 ]	22/-9
[ 4  2  1  1  0 ]	13/22
[ -4  -2  -1  -1  0 ]	13/-22
[ 4  1  3 ]	19/5
[ -4  -1  -3 ]	19/-5
[ 4  1  2  1  0 ]	14/19
[ -4  -1  -2  -1  0 ]	14/-19
[ 4  1  1  2  0 ]	9/23
[ -4  -1  -1  -2  0 ]	9/-23
[ 4  1  1  1  1 ]	23/14
[ -4  -1  -1  -1  -1 ]	23/-14
[ 3  5  0 ]	3/16
[ -3  -5  0 ]	3/-16
[ 3  4  1 ]	16/13
[ -3  -4  -1 ]	16/-13
[ 3  3  2 ]	23/10
[ -3  -3  -2 ]	23/-10
[ 3  3  1  1  0 ]	13/23
[ -3  -3  -1  -1  0 ]	13/-23
[ 3  2  3 ]	24/7
[ -3  -2  -3 ]	24/-7
[ 3  2  2  1  0 ]	17/24
[ -3  -2  -2  -1  0 ]	17/-24
[ 3  2  1  2  0 ]	10/27
[ -3  -2  -1  -2  0 ]	10/-27
[ 3  2  1  1  1 ]	27/17
[ -3  -2  -1  -1  -1 ]	27/-17
[ 3  1  4 ]	19/4
[ -3  -1  -4 ]	19/-4
[ 3  1  3  1  0 ]	15/19
[ -3  -1  -3  -1  0 ]	15/-19
[ 3  1  2  2  0 ]	11/26
[ -3  -1  -2  -2  0 ]	11/-26
[ 3  1  2  1  1 ]	26/15
[ -3  -1  -2  -1  -1 ]	26/-15
